# OTU,S13,S16,S11,S14,S17,S15,S18,S20,S12,S19,taxonomy
Taxa_4448,0,0,0,0,56,3,25,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_dentocariosa_3
Taxa_5311,1,0,0,0,159,5,347,0,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_F0332
Taxa_8270,0,0,0,0,12,10,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillales_unclassified;g__Enhydrobacter;s__Enhydrobacter_aerosaccus_4
Taxa_8553,0,1,0,0,2,3,66,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium_sp_ORS_3359_2
Taxa_106,5,0,1278,0,0,0,2,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii_2
Taxa_5187,0,0,0,0,6,57,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__C_simulans_2
Taxa_9023,0,0,711,0,1,0,0,1,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis_CAG_67
Taxa_6153,0,0,0,0,33,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_denticola
Taxa_5070,0,0,448,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum_CAG_69
Taxa_6039,0,23,0,0,53,37,39,0,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia_jacobaea_2
Taxa_7882,0,147,0,27,9,28,211,109,186,31,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_ORS_285_2
Taxa_5349,0,0,2,0,432,20,89,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa_5
