S_sample,S,Phylum,sample,sample_1,sample_folder,MGX_cpn_RA,MTX_cpn_RA,MA_value,ratio,sum,MGX_humann_RA,MTX_humann_RA,humann_MTX_MGX_ratio,MGX_humann_RKPs,mtx_humann_RKPs,MGX_metaphlan_RA,"MGX_,metaphlan_RPKs",Reference_genome,num_uniref90s_ref,bPTR_coverage,bPTR_GC,overall_depth,iRep,raw_iRep,unfiltered_iRep,r2,status
s__Sutterella_wadsworthensis-CSM5MCV1_P,g__Sutterellaceae_unclassified.s__Sutterellaceae_bacterium,Proteobacteria,"""CSM5MCV1_P"",", CSM5MCV1_P,pilot,0.004786361,0.008299039,-0.103027105,1.733893109,0.009572723,0.004853838,0.006028357,1.241977318,41047.3566,374606.4875,0.369711787,NA,GCA_002690025,0,NA,NA,NA,,,,,
s__Acetobacter_sp_CAG_267-CSM5MCTZ_P,s__Acetobacter_sp_CAG_267,Proteobacteria,"""CSM5MCTZ_P"",", CSM5MCTZ_P,pilot,0.027327776,0.023494348,0.041986103,0.85972411,0.054655551,0.093101135,0.130092921,1.397329052,566089.9164,873436.3784,2.98104,NA,NA,NA,NA,NA,NA,,,,,
s__Acetobacter_sp_CAG_267-CSM5MCUG_P,s__Acetobacter_sp_CAG_267,Proteobacteria,"""CSM5MCUG_P"",", CSM5MCUG_P,pilot,0.020421436,0.005931575,0.31771815,0.290458262,0.040842871,0.056926283,0.108666096,1.908891453,368670.9405,592510.633,1.869009,NA,NA,NA,NA,NA,NA,,,,,
s__Acetobacter_sp_CAG_267-CSM5MCUK_P,s__Acetobacter_sp_CAG_267,Proteobacteria,"""CSM5MCUK_P"",", CSM5MCUK_P,pilot,0.082427024,0,Inf,0,0.164854048,0.192273549,0,0,1985886.614,0,7.441528,NA,NA,NA,NA,NA,NA,,,,,
s__Acetobacter_sp_CAG_267-CSM5MCUO,s__Acetobacter_sp_CAG_267,Proteobacteria,"""CSM5MCUO"",", CSM5MCUO,non-pilot,0.005720637,0,Inf,0,0.011441273,0.013221231,0.012926577,0.977713595,78533.4668,35011.01065,0.4889764,NA,NA,NA,NA,NA,NA,,,,,
s__Acetobacter_sp_CAG_267-CSM5MCX3,s__Acetobacter_sp_CAG_267,Proteobacteria,"""CSM5MCX3"",", CSM5MCX3,non-pilot,0.003134527,0,Inf,0,0.006269053,0.007323501,0.005758533,0.786308717,29060.85114,10818.88324,0.2078251,NA,NA,NA,NA,NA,NA,,,,,
s__Acetobacter_sp_CAG_267-CSM79HMT,s__Acetobacter_sp_CAG_267,Proteobacteria,"""CSM79HMT"",", CSM79HMT,non-pilot,0.004814793,0,Inf,0,0.009629586,0.013151705,NA,NA,44631.82445,NA,0.415839117,NA,NA,NA,NA,NA,NA,,,,,
s__Acidaminococcus_intestini-CSM5FZ4G_P,s__Acidaminococcus_intestini,Firmicutes,"""CSM5FZ4G_P"",", CSM5FZ4G_P,pilot,0.015716725,0,Inf,0,0.031433451,0.040021001,0.000278345,0.006954977,561230.7319,3889.553289,1.503655,NA,GCA_000230275,1957,NA,1.19,19.43,n/a,2.01,2.02,0.88,bPTR
s__Acidaminococcus_intestini-CSM5FZ4K_P,s__Acidaminococcus_intestini,Firmicutes,"""CSM5FZ4K_P"",", CSM5FZ4K_P,pilot,0.029098949,0,Inf,0,0.058197898,0.069519134,2.72E-05,0.000390902,493483.9794,36.74298573,2.494195,NA,GCA_000230275,1957,NA,1.19,16.19,n/a,1.98,2,0.87,bPTR
s__Acidaminococcus_intestini-CSM5FZ4M,s__Acidaminococcus_intestini,Firmicutes,"""CSM5FZ4M"",", CSM5FZ4M,non-pilot,0.010118456,0,Inf,0,0.020236911,0.029008204,0.000666947,0.022991671,180375.8553,2788.197702,0.8691655,NA,GCA_000230275,1944,NA,1.26,6.69,n/a,1.98,2,0.92,bPTR
